NAMASTE_code,NAMASTE_term,Biomedicine_code,Biomedicine_term,Biomedicine_mapping_type,TM-2_code,TM-2_term,TM-2_mapping_type
Z18,Neṟṟicūlai Vātam,,,,SM95,Vaginitis disorder (TM2),semantic_match
Z19,Karṉa Cūlai Vātam,"AA8Z, AA91.0, AA91.Z, AA9Z","Chronic suppurative otitis media, unspecified, Chronic tubotympanic suppurative otitis media, Nonsuppurative otitis media, unspecified, Suppurative otitis media, unspecified whether acute or chronic",semantic_match,SK88,Otitis disorder (TM2),semantic_match
Z20,Cevipaṭuvātam,"AA8Z, AA91.Z, AB0Z","Chronic suppurative otitis media, unspecified, Nonsuppurative otitis media, unspecified, Otitis media, unspecified",semantic_match,SK8Z,"Ear disorders (TM2), unspecified",semantic_match
Z21,Pakka Vātam,,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
Z22,Pakṣavātam,,,,SK22,Hemiplegia disorder (TM2),semantic_match
Z23,Pēy Vātam,,,,SM95,Vaginitis disorder (TM2),semantic_match
Z24,Pirāṇālaya Vātam,,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
Z25,Calastampa Vātam,,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
Z26,Cantu Vātam,,,,SP10,Polyarthritis disorder (TM2),semantic_match
Z27,Cakaṉa Vātam,,,,SK51,Cervicobrachial pain disorder (TM2),semantic_match
Z28,Aṟputa Vātam,"6B60.84, 8B82.0, 8B82.Z, 8B88.Y, 8B88.Z","Disorders of facial nerve, unspecified, Disorders of trigeminal nerve, unspecified, Dissociative neurological symptom disorder, with facial spasm, Other specified disorders of facial nerve, Trigeminal neuralgia",semantic_match,SK20,Facial palsy disorder (TM2),semantic_match
Z29,Uraka Vātam,,,,SK20,Facial palsy disorder (TM2),semantic_match
Z30,Urakāri Vātam,"DB90.0, DB9Z","Abscess of liver, Diseases of liver, unspecified",semantic_match,SM40,Liver abscess disorder (TM2),semantic_match
Z31,Asvatampa Vātam,ME84.Z,"Spinal pain, unspecified",semantic_match,SK21,Paraplegia disorder (TM2),semantic_match
Z32,Pācattampa Vātam,,,,SA1Z,"Palpitation disorders (TM1), unspecified",semantic_match
Z33,Nēttira Pavuttiravātam,,,,SL2Z,"Eye, ear, nose, throat and neck disorders (TM2), unspecified",semantic_match
Z34,Taṇṭaka Vātam,"ME84.Z, NB53.5, PK81.A, XA5UE9","Lumbar nerve, Lumbar puncture associated with injury or harm in therapeutic use, Spinal pain, unspecified, Strain or sprain of lumbar spine",semantic_match,SP42,Lumbar spondylosis disorder (TM2),semantic_match
Z35,Aṣṭa Tantira Vātam,1C13,Tetanus,"direct_match, semantic_match",SE0Z,"Warmth disorders (TM1), unspecified",semantic_match
Z36,Vacaṉā Vātam,,,,SM95,Vaginitis disorder (TM2),semantic_match
Z37,Makā Vātam,3A01.30,"Pernicious Anaemia, Pernicious anaemia","direct_match, semantic_match",SL80,Anaemia disorder (TM2),semantic_match
A-28.12,Ṣar‘ Ḍarbī,"8A60.5, 8C12.5, NA07.21, NA07.2Y, NA07.2Z, NA07.3Z, NA07.4Z","Epilepsy due to injuries to the head, Focal traumatic cerebral oedema, Other specified traumatic cerebral oedema, Traumatic cerebral oedema, unspecified, Traumatic neuroma, not otherwise specified, Unspecified diffuse traumatic brain injury, Unspecified focal traumatic brain injury",semantic_match,SK5Z,"Head, brain, nerve and movement disorders (TM2), unspecified",semantic_match
Z38,Mirut Vātam,,,,SA51,Stomach ache disorder (TM1),semantic_match
Z39,Utara Vātam,,,,SM3E,Gastric ulcer disorder (TM2),semantic_match
Z40,Mūttira Utira Vātam,MF52,Bladder pain,semantic_match,SM86,Wound of the urinary bladder disorder (TM2),semantic_match
Z41,Cukkila Vātam,,,,SB03,Turbid urine disorder (TM1),semantic_match
Z42,Cavviraṅka Vātam,,,,SM95,Vaginitis disorder (TM2),semantic_match
Z43,Ūrttuva Vātam,BD10,Congestive heart failure,semantic_match,SS3J,Weakness of vital spirit pattern (TM2),semantic_match
Z44,Aññāṉattampam,2E62.0,Carcinoma in situ of larynx,semantic_match,SL09,Laryngitis disorder (TM2),semantic_match
Z45,Cirakkampa Vātam,,,,SK00,Cephalalgia disorder (TM2),semantic_match
Z46,Catastampa Vātam,,,,SD24,Frequent protrusion of tongue disorder (TM1),semantic_match
Z47,Vaccirarūpa Vātam,,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
Z48,Kaṇṭakirākavātam,,,,SA20,True heart pain disorder (TM1),semantic_match
Z49,Nakāri Vātam,,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
Z50,Patita Vātam,,,,SR12,Aggravation of vata pattern (TM2),semantic_match
Z51,Yōṉicūlai Vātam,"GA02.0, GA02.1, GA02.Z","Acute vaginitis, Inflammatory vaginitis, Vaginitis, unspecified",semantic_match,SM95,Vaginitis disorder (TM2),semantic_match
Z52,Karppacūlai Vātam,,,,SN1Z,"Pregnancy and childbirth related disorders (TM2), unspecified",semantic_match
Z53,Aṣṭacūlai Vātam,,,,SM95,Vaginitis disorder (TM2),semantic_match
Z54,Kuṭal Vātam,DD51,Inguinal hernia,semantic_match,SM3G,Hernia disorder (TM2),semantic_match
Z55,Acuva Vātam,,,,SM95,Vaginitis disorder (TM2),semantic_match
Z56,Meccu Vātam,,,,SM95,Vaginitis disorder (TM2),semantic_match
Z57,Mūṭu Vātam,,,,SM95,Vaginitis disorder (TM2),semantic_match
Z58,Vacu Vātam,,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
Z59,Pījastampa Vātam,MF40.00,Pain in penis,semantic_match,SN05,Orchitis disorder (TM2),semantic_match
A-28.13,Ṣar‘ Qalbī,,,,SL6Y,Other specified heart disorders (TM2),semantic_match
Z60,Tantira Veṭṭi Vātam,,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
Z61,Vātacurōṇitam,,,,SP10,Polyarthritis disorder (TM2),semantic_match
Z62,Cittuvāta Curōṇitam,,,,SK00,Cephalalgia disorder (TM2),semantic_match
Z63,Vaikita Vāta Curōṇitam,EB40.0Z,"Pemphigus vulgaris, unspecified",semantic_match,SN4P,Pemphigus vulgaris disorder (TM2),semantic_match
Z64,Utira Vāta Curōṇitam,,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
Z65,Payittiya Vāta Curōṇitam,"1B40.0, ME83","Rheumatic arthritis, acute or subacute, Rheumatism, unspecified",semantic_match,SP11,Rheumatism disorder (TM2),semantic_match
Z66,Cilēṭṭumavāta Curōṇitam,"1B12.41, 1B12.8, 1B1Z","Cutaneous tuberculosis, Tuberculosis, unspecified, Tuberculous myositis",semantic_match,SA7Z,"Cough disorders (TM1), unspecified",semantic_match
Z67,Utaravāta Curōṇitam,,,,SM53,Haemorrhoids disorder (TM2),semantic_match
Z68,Kuṇa Avatāṉakam,"JA00.01, JA00.03, JA00.06, JA00.08, JA00.11, JA00.13, JA00.14, JA00.16, JA00.18, JA00.19, JA00.31","Failed medical abortion, complicated by delayed or excessive haemorrhage, Induced abortion, complete or unspecified, complicated by delayed or excessive haemorrhage, Induced abortion, complete or unspecified, with other complication, Induced abortion, complete or unspecified, without complication, Induced abortion, incomplete, complicated by delayed or excessive haemorrhage, Induced abortion, incomplete, with other or unspecified complications, Induced abortion, incomplete, without complication, Spontaneous abortion, complete or unspecified, complicated by delayed or excessive haemorrhage, Spontaneous abortion, complete or unspecified, with other or unspecified complications, Spontaneous abortion, incomplete, complicated by delayed or excessive haemorrhage, Spontaneous abortion, incomplete, with other or unspecified complications",semantic_match,SN1Z,"Pregnancy and childbirth related disorders (TM2), unspecified",semantic_match
Z69,Kaṇṭaka Avatāṉakam,"JA24.0, JA24.1, JA24.Z","Mild to moderate pre-eclampsia, Pre-eclampsia, unspecified, Severe pre-eclampsia",semantic_match,SC03,Eclampsia disorder (TM1),semantic_match
Z70,Ciṟukampa Avatāṉakam,,,,SS80,Kapha predominant age pattern (TM2),semantic_match
Z71,Vātattalai Nōkkāṭu,,,,SK0Z,"Headache disorders (TM2), unspecified",semantic_match
Z72,Pittattalai Nōkkāṭu,XA1R64,Maxillary sinus,semantic_match,SC91,Nasal sinusitis disorder (TM1),semantic_match
Z73,Cilēṭṭuma Talai Nōkkāṭu,,,,SK0Z,"Headache disorders (TM2), unspecified",semantic_match
Z74,Caṉṉivāta Nōkkāṭu,,,,SK0Y,Other specified headache disorders (TM2),semantic_match
Z75,Iratta Pitta Nōkkāṭu,,,,SK0Z,"Headache disorders (TM2), unspecified",semantic_match
Z76,Kirumikata Nōkkāṭu,,,,SK8Z,"Ear disorders (TM2), unspecified",semantic_match
Z77,Cūriyā Varttam Nōkkāṭu,XA91G8,Frontal sinus,semantic_match,SD1Z,"Headache disorders (TM1), unspecified",semantic_match
Z78,Cantirā Varttam Nōkkāṭu,XA1R64,Maxillary sinus,semantic_match,SC91,Nasal sinusitis disorder (TM1),semantic_match
Z79,Karṉāvarttam Nōkkāṭu,,,,SK8Z,"Ear disorders (TM2), unspecified",semantic_match
Z80,Oru Talaiyiṉ Vartam,"8A81.0, 8A81.1, 8A81.Y, 8A81.Z, 8A8Z","Frequent episodic tension-type headache, Headache disorders, unspecified, Infrequent episodic tension-type headache, Other specified tension-type headache, Tension-type headache, unspecified",semantic_match,SD1Z,"Headache disorders (TM1), unspecified",semantic_match
Z81,Vātakarṉa Cūlai,,,,SK83,Pruritus of ear disorder (TM2),semantic_match
A-28.14,Ṣar‘ Laylī,,,,SK31,Epilepsy disorder (TM2),semantic_match
Z82,Pittakarṇa Cūlai,,,,SK83,Pruritus of ear disorder (TM2),semantic_match
Z83,Cilēṭṭuma Karṇa Cūlai,,,,SK80,Ear abscess disorder (TM2),semantic_match
Z84,Kirumikarṉa Cūlai,,,,SK8Z,"Ear disorders (TM2), unspecified",semantic_match
Z85,Tanta Vāyu,MG30.61,Chronic dental pain,semantic_match,SM1J,Sensitive teeth disorder (TM2),semantic_match
ZAA,Vaḷi,"XM1WZ4, XM4GK4","Valaciclovir, Valmid",semantic_match,SS57,Vaḷi body constitution pattern (TM2),semantic_match
ZAA1.1,Vaḷi Cūlai,,,,SK51,Cervicobrachial pain disorder (TM2),semantic_match
ZAA1.2,Mēkacūlai,,,,SK51,Cervicobrachial pain disorder (TM2),semantic_match
ZAA1.3,Muṟicūlai,,,,SA51,Stomach ache disorder (TM1),semantic_match
ZAA1.4,Kuṉmacūlai,,,,SM33,Abdominal pain disorder (TM2),semantic_match
ZAA1.5,Curacūlai,,,,SP54,Fever with body pain disorder (TM2),semantic_match
ZAA1.6,Pakkacūlai,MD30.1,Other chest pain,semantic_match,SM70,Flank pain disorder (TM2),semantic_match
ZAA1.7,Kaṟpacūlai,,,,SF9A,Phlegm obstructing the uterus pattern (TM1),semantic_match
ZAA1.8,Tūracūlai,,,,SM33,Abdominal pain disorder (TM2),semantic_match
ZAB,Aẕal,"XM0TE5, XM1UP9, XM23M7, XM3DB8, XM3GN3, XM4TR6, XM5GC5, XM6SG3, XM6Z93, XM9VB8, XM9WK6","Azacyclonol, Azaribine, Azatadine, Azatepa, Azelaic acid, Azelastine, Azilsartan, Aziridine, Azobenzene, Aztreonam, Lead azide",semantic_match,SS58,Aẕal body constitution pattern (TM2),semantic_match
ZAB1.1,Aẕal Cūlai,,,,SS5A,Vaḷi-predominant Aẕal body constitution pattern (TM2),semantic_match
ZAB1.2,Ularttucūlai,,,,SN4W,Ulcer disorder (TM2),semantic_match
ZAB1.3,Kaṟaicūlai,,,,SB76,Hand dampness itch disorder (TM1),semantic_match
ZAC,Aiyam,,,,SR1H,Increase of Aiyam pattern (TM2),semantic_match
ZAC1.1,Aiya Cūlai,,,,SF7E,Stomach yin deficiency pattern (TM1),semantic_match
ZAC1.2,Āma Cūlai,ME86.5,Symptom or complaint of the flank or axilla,semantic_match,SM70,Flank pain disorder (TM2),semantic_match
ZAC1.3,Ukkāra Cūlai,,,,SM31,Abdominal distension disorder (TM2),semantic_match
ZAC1.4,Nitampacūlai,,,,SE32,Growth pain disorder (TM1),semantic_match
Z$,Aẕal (Pitta) Nōykaḷ,,,,SS5E,Aiya-predominant Aẕal body constitution pattern (TM2),semantic_match
Z$1,Āvuru Pittam,,,,SD71,Wasting thirst disorder (TM1),semantic_match
Z$2,Āmila Pittam,,,,SS81,Pitta predominant age pattern (TM2),semantic_match
Z$3,Uṉmāta Pittam,,,,SK53,Stammering disorder (TM2),semantic_match
A-28.15,Ṣar‘ Marāqī,6B23.Z,"Hypochondriasis, unspecified",semantic_match,SR00,Marasmus disorder (TM2),semantic_match
Z$4,Tamanta Pittam,,,,SB79,Thrush disorder (TM1),semantic_match
Z$5,Vāta Pittam,,,,SR10,Vitiation of vāta pattern (TM2),semantic_match
Z$6,Vaṉṉi Pittam,"DA42.82, DA42.Y, DA42.Z","Chemical gastritis, Gastritis, unspecified, Other specified gastritis",semantic_match,SM3F,Gastritis disorder (TM2),semantic_match
Z$7,Cilēṭṭuma Pittam,,,,SS81,Pitta predominant age pattern (TM2),semantic_match
Z$8,Curōṇita Pittam,,,,SB95,Menopausal disorder (TM1),semantic_match
Z$9,Vikāra Pittam,,,,SM9B,Vaginismus disorder (TM2),semantic_match
Z$10,Viraṇa Pittam,,,,SR15,Vitiation of pitta pattern (TM2),semantic_match
Z$11,Uratta Pitta Vātam,,,,SC1Z,"Puerperium associated disorders (TM1), unspecified",semantic_match
Z$12,Iratta Pittam,BB01.Z,"Pulmonary hypertension, unspecified",semantic_match,SA7Z,"Cough disorders (TM1), unspecified",semantic_match
Z$13,Kāca Pittam,,,,SL05,Pharyngitis disorder (TM2),semantic_match
Z$14,Cuvāca Pittam,"CA20.10, CA20.1Z, CA20.Y, CA20.Z, CA26.Z, CA81.0, CB03.6","Bronchitis or pneumonitis due to chemicals, gases, fumes or vapours, Bronchitis, unspecified, Chronic bronchiolitis, unspecified, Chronic bronchitis, unspecified, Other specified bronchitis, Respiratory bronchiolitis - interstitial lung disease, Simple chronic bronchitis",semantic_match,SL40,Bronchial asthma disorder (TM2),semantic_match
Z$15,Cem Pittam,,,,SS81,Pitta predominant age pattern (TM2),semantic_match
Z$16,Karum Pittam,,,,SM3L,Vomiting disorder (TM2),semantic_match
Z$17,Karappāṉ Pittam,,,,SN5Z,"Skin disorders (TM2), unspecified",semantic_match
Z$18,Acīraṇa Pittam,,,,SM3B,Indigestion disorder (TM2),semantic_match
Z$19,Aruci Pittam,DA03.Z,"Diseases of tongue, unspecified",semantic_match,SR06,Oral thrush in babies disorder (TM2),semantic_match
Z$20,Eripittam,"ED31, ND95.0, ND96.0, ND97.0","Burn of ankle or foot, epidermal burn, Burn of hip or leg, except ankle or foot, epidermal burn, Burn of wrist or hand, epidermal burn, Burning feet syndrome",semantic_match,SK21,Paraplegia disorder (TM2),semantic_match
Z$21,Aẕal Pittam,,,,SS81,Pitta predominant age pattern (TM2),semantic_match
Z$22,Tuṭi Pittam,,,,SK52,Tremor disorder (TM2),semantic_match
Z$23,Viṭa Pittam,MG47,Toxicosis not further specified,semantic_match,SQ6Y,Other specified poisoning disorders (TM2),semantic_match
Z$24,Aticāra Pittam,,,,SR16,Accumulation of pitta pattern (TM2),semantic_match
Z$25,Mūla Pittam,,,,SS81,Pitta predominant age pattern (TM2),semantic_match
Z$26,Mutir Pittam,,,,SS81,Pitta predominant age pattern (TM2),semantic_match
Z$27,Kaṇṭa Pittam,,,,SL09,Laryngitis disorder (TM2),semantic_match
Z$28,ōṭu Pittam,,,,SK53,Stammering disorder (TM2),semantic_match
Z$29,Mūṭu Pittam,,,,SQ0Z,"Mental disorders (TM2), unspecified",semantic_match
Z$30,Naṭukku Pittam,8A04.Z,"Disorders associated with tremor, unspecified",semantic_match,SK52,Tremor disorder (TM2),semantic_match
Z$31,Kapāla Pittam,"8A85, ME86.9, MG30.65","Chronic headache or orofacial pain associated with cranial or cervical vascular disorder, Painful cranial neuropathies or other facial pains, Symptom or complaint of the jaw",semantic_match,SD00,Facial paralysis disorder (TM1),semantic_match
Z$32,Cartti Pittam,"DB92.Y, DB92.Z, DB94.2, DB94.Y, DB94.Z, DB9Z","Alcoholic liver disease, unspecified, Alcoholic liver fibrosis, Diseases of liver, unspecified, Non-alcoholic fatty liver disease, unspecified, Other specified alcoholic liver disease, Other specified non-alcoholic fatty liver disease",semantic_match,SA0Z,"Liver system disorders (TM1), unspecified",semantic_match
Z$33,Tāka Pittam,,,,SS81,Pitta predominant age pattern (TM2),semantic_match
Z$34,Vikkal Pittam,8A06.21,Chronic hiccups,semantic_match,SP52,Fever disorder with excessive salivation (TM2),semantic_match
Z$35,Kṣaya Pittam,"1B10.0, 1B10.1, 1B10.Z, 1B11.Z, 1B12.0, 1B14, 1B1Y, 1B1Z, 1G80, CA60.3","Latent tuberculosis, Other specified tuberculosis, Pneumoconiosis associated with tuberculosis, Respiratory tuberculosis, confirmed, Respiratory tuberculosis, not confirmed, Respiratory tuberculosis, without mention of bacteriological or histological confirmation, Sequelae of tuberculosis, Tuberculosis of heart, Tuberculosis of the nervous system, unspecified, Tuberculosis, unspecified",semantic_match,SA7Z,"Cough disorders (TM1), unspecified",semantic_match
Z$36,Timir Pittam,,,,SB93,Metrorrhagia disorder (TM1),semantic_match
Z$37,Vali Pittam,,,,SS81,Pitta predominant age pattern (TM2),semantic_match
Z$38,Cīta Pittam,,,,SR16,Accumulation of pitta pattern (TM2),semantic_match
Z$39,Kirumi Pittam,,,,SQ50,Worm infestation disorder (TM2),semantic_match
Z$40,Acāttiya Pittam,6C40.6Z,"Alcohol-induced psychotic disorder, unspecified",semantic_match,SQ20,Alcoholism disorder (TM2),semantic_match
Z$41,Mārkka Pittam,,,,SQ01,Hallucination disorder (TM2),semantic_match
Z$42,Maruntīṭu Pittam,,,,SB6Y,Other specified abscess disorders (TM1),semantic_match
Z#,Aiya (Kapa) Nōykaḷ,1D4B,Kyasanur Forest disease,semantic_match,SF84,Lung yang deficiency pattern (TM1),semantic_match
Z#1,Irumal,,,,SS5D,Aẕal-predominant Aiyam body constitution pattern (TM2),semantic_match
Z#2,Kācam,,,,SS5D,Aẕal-predominant Aiyam body constitution pattern (TM2),semantic_match
Z#3,Cuvācam,,,,SK95,Rhinitis disorder (TM2),semantic_match
Z#4,Tīpaṉam,,,,SS2C,Suppression of hunger pattern (TM2),semantic_match
Z#5,Mantam,,,,SR89,"Urine colour of excessive depravement of Vaḷi, Aẕal and Aiyam pattern (TM2)",semantic_match
Z#6,Vaḷi,,,,SR89,"Urine colour of excessive depravement of Vaḷi, Aẕal and Aiyam pattern (TM2)",semantic_match
A-28.16,Ṣar‘ Nahārī,,,,SE33,Acute convulsion disorder (TM1),semantic_match
Z#7,Aẕal,,,,SS5D,Aẕal-predominant Aiyam body constitution pattern (TM2),semantic_match
Z#8,Mukkūṭṭu,,,,SD93,Alternating fever and chills disorder (TM1),semantic_match
Z#9,Cuka Caṉṉi,,,,SE35,Fright seizure disorder (TM1),semantic_match
Z#10,Curam,,,,SM3L,Vomiting disorder (TM2),semantic_match
Z#11,Aticāram,,,,SR89,"Urine colour of excessive depravement of Vaḷi, Aẕal and Aiyam pattern (TM2)",semantic_match
Z#12,Nīrkkōvai,,,,SR89,"Urine colour of excessive depravement of Vaḷi, Aẕal and Aiyam pattern (TM2)",semantic_match
Z#13,Aṉal,,,,SS5D,Aẕal-predominant Aiyam body constitution pattern (TM2),semantic_match
Z#14,Pūtam,,,,SK53,Stammering disorder (TM2),semantic_match
Z#15,Muyalakaṉ,,,,SR1H,Increase of Aiyam pattern (TM2),semantic_match
Z#16,Veṟi,,,,SR1H,Increase of Aiyam pattern (TM2),semantic_match
Z#17,Vikāram,,,,SN4D,Vitiligo disorder (TM2),semantic_match
Z#18,Curōṇitam,,,,SP11,Rheumatism disorder (TM2),semantic_match
Z#19,Viraṇam,,,,SL71,Varicose ulcer disorder (TM2),semantic_match
Z#20,Turk Kantam,,,,SL71,Varicose ulcer disorder (TM2),semantic_match
Z#21,Nittiyam,,,,SR1H,Increase of Aiyam pattern (TM2),semantic_match
O-6,Ruṭūbat Gharīziyya,,,,SR1X,Thickening of humors pattern (TM2),semantic_match
A,Amrāḍ-i-Niẓām-i-A‘ṣāb-o-Dimāgh,"8A41.Y, 8A41.Z, 8B60.7, 8B60.Y, 8B60.Z, 8B6Y, 8B6Z, 8B85, 8B8Y, 8B8Z, 8D43.Y, 8D4Y, 8D4Z, 8D8Y, 8D8Z, 8E4A.0, 8E4A.Y, 8E4A.Z, 8E7Y, 8E7Z, LD20.Y, LD20.Z, MB7Y, XH4UE6","Diseases of the nervous system, unspecified, Disorders of autonomic nervous system, unspecified, Disorders of cranial nerves, unspecified, Disorders of multiple cranial nerves, Isolated demyelinating syndromes of the central nervous system, unspecified, Madras type motor neuron disease, Motor neuron disease, unspecified, Motor neuron diseases or related disorders, unspecified, Neuroma, NOS, Nutritional or toxic disorders of the nervous system, unspecified, Other specified clinical findings in the nervous system, Other specified diseases of the nervous system, Other specified disorders of autonomic nervous system, Other specified disorders of cranial nerves, Other specified isolated demyelinating syndromes of the central nervous system, Other specified motor neuron disease, Other specified motor neuron diseases or related disorders, Other specified neurological disorders due to toxicity, Other specified nutritional or toxic disorders of the nervous system, Other specified paraneoplastic or autoimmune disorders of the nervous system, Other specified syndromes with central nervous system anomalies as a major feature, Paraneoplastic or autoimmune disorders of the central nervous system, brain or spinal cord, Paraneoplastic or autoimmune disorders of the nervous system, unspecified, Syndromes with central nervous system anomalies as a major feature, unspecified",semantic_match,SK1Y,Other specified nervous system disorders (TM2),semantic_match
A-1,Bayḍa-o-Khūdha,8A8Z,"Headache disorders, unspecified",semantic_match,SD1Z,"Headache disorders (TM1), unspecified",semantic_match
A-2,Shaqīqa,"8A80.10, 8A80.2, 8A80.3Z, 8A80.Y, 8A80.Z, 8A8Z, MG31.1","Acute headache, not elsewhere classified, Chronic migraine, Complications related to migraine, unspecified, Headache disorders, unspecified, Hemiplegic migraine, Migraine, unspecified, Other specified migraine",semantic_match,SD10,Migraine disorder (TM1),semantic_match
A-2.1,Shaqīqa Ḥārra,"8A80.0, 8A80.10, 8A80.1Z, 8A80.2, 8A80.3Y, 8A80.3Z, 8A80.Y, 8A80.Z, 8B22.9, MG31.1","Acute headache, not elsewhere classified, Chronic migraine, Complications related to migraine, unspecified, Hemiplegic migraine, Migraine with aura, unspecified, Migraine without aura, Migraine, unspecified, Migraine-induced stroke, Other specified complications related to migraine, Other specified migraine",semantic_match,SD10,Migraine disorder (TM1),semantic_match
A-2.2,Shaqīqa Bārida,"8A80.10, 8A80.2, 8A80.3Y, 8A80.3Z, 8A80.Y, 8A80.Z, 8B22.9","Chronic migraine, Complications related to migraine, unspecified, Hemiplegic migraine, Migraine, unspecified, Migraine-induced stroke, Other specified complications related to migraine, Other specified migraine","direct_match, semantic_match",SK01,Migraine disorder (TM2),semantic_match
A-3,‘Iṣāba,"8A80.Z, 8A81.0, 8A81.1, 8A81.2, 8A81.Y, 8A81.Z, 8A83, 8A84.0, 8A84.1, 8A84.Y, 8A84.Z, 8A8Y, 8A8Z, MB4D, MG30.03, MG30.65, MG30.66, MG30.6Y, MG30.6Z, MG31.1","Acute headache associated with traumatic injury to the head, Acute headache, not elsewhere classified, Chronic headache or orofacial pain associated with cranial or cervical vascular disorder, Chronic headache or orofacial pain associated with non-vascular intracranial disorder, Chronic primary headache or orofacial pain, Chronic secondary headache or orofacial pain, unspecified, Chronic tension-type headache, Frequent episodic tension-type headache, Headache disorders, unspecified, Headache, not elsewhere classified, Infrequent episodic tension-type headache, Migraine, unspecified, Other primary headache disorder, Other specified chronic secondary headache or orofacial pain, Other specified headache disorders, Other specified secondary headache, Other specified tension-type headache, Persistent headache associated with traumatic injury to the head, Secondary headache, unspecified, Tension-type headache, unspecified",semantic_match,SD1Z,"Headache disorders (TM1), unspecified",semantic_match
A-4,Ḥiss-i-Dimāgh,ME65.1,Itching of skin,semantic_match,SB76,Hand dampness itch disorder (TM1),semantic_match
A-5,Sarsām,"1B93.3, 1D01.0Y, 8E40.0, 8E40.1, 8E40.2, 8E40.Y, 8E40.Z, 8E62, XH5976","Chemical meningitis, Disorders of the meninges excluding infection, unspecified, Inflammatory meningitis, Meningeal sarcomatosis, Neoplastic meningitis, Other specified bacterial meningitis, Other specified disorders of the meninges excluding infection, Plague meningitis, Postprocedural meningitis",semantic_match,SK5Y,"Other specified head, brain, nerve and movement disorders (TM2)",semantic_match
A-5.1,Sarsām Damawī/ Qarānīṭus,"1B93.3, 1D01.0Y, 1D01.0Z, 1D01.Z, 8E40.1, 8E40.2, 8E40.Y, 8E40.Z, 8E62","Bacterial meningitis, unspecified, Chemical meningitis, Disorders of the meninges excluding infection, unspecified, Infectious meningitis, unspecified, Inflammatory meningitis, Other specified bacterial meningitis, Other specified disorders of the meninges excluding infection, Plague meningitis, Postprocedural meningitis",semantic_match,SK0Z,"Headache disorders (TM2), unspecified",semantic_match
A-5.2,Sarsām Ṣafrāwī/ Qarānīṭus Khāliṣ,,,,SK6W,Panopthalmitis disorder (TM2),semantic_match
A-5.3,Sarsām Sawdāwī,"1B93.3, 1D01.0Y, 8E40.1, 8E40.2, 8E62","Chemical meningitis, Inflammatory meningitis, Other specified bacterial meningitis, Plague meningitis, Postprocedural meningitis",semantic_match,SM54,Proctitis disorder (TM2),semantic_match
A-28.17,Ṣar‘ Shirkī Mi‘dī,"8A60.Y, 8A60.Z, 8A6Z","Epilepsy due to other structural or metabolic condition or disease, Epilepsy due to unspecified structural or metabolic condition or disease, Epilepsy or seizures, unspecified",semantic_match,SK31,Epilepsy disorder (TM2),semantic_match
A-9,‘Uṭāsh,,,,SD71,Wasting thirst disorder (TM1),semantic_match
A-10,Māshrā,DB97.Z,"Inflammatory liver disease, unspecified",semantic_match,SN5Y,Other specified skin disorders (TM2),semantic_match
A-11,Mā’ al-Ra’s,"8D64.02, 8D64.03, 8D64.0Z, 8D64.10, 8D64.1Z, 8D64.2, 8D64.Z, KB05.0, KB05.Y, KB05.Z, LA04.0, LA04.Y, LA04.Z","Communicating hydrocephalus, unspecified, Congenital hydrocephalus, unspecified, Ex-vacuo hydrocephalus, Hydrocephalus due to structural malformations, Hydrocephalus with stenosis of the aqueduct of Sylvius, Hydrocephalus, unspecified, Neonatal hydrocephalus, unspecified, Neonatal obstructive hydrocephalus, Non-communicating hydrocephalus, unspecified, Other specified congenital hydrocephalus, Other specified neonatal hydrocephalus, Post haemorrhagic hydrocephalus, Post traumatic hydrocephalus",semantic_match,SL2Z,"Eye, ear, nose, throat and neck disorders (TM2), unspecified",semantic_match
A-12,Subāt,"5A23, MB20.1, MB20.Y, NA07.07","Coma, Concussion with loss of consciousness, persisting until death, Diabetic coma, Other specified symptoms, signs or clinical findings involving consciousness","direct_match, semantic_match",SQ00,Delirium disorder (TM2),semantic_match
A-12.1,Subāt Sahrī,,,,SQ00,Delirium disorder (TM2),semantic_match
A-12.2,Subāt Bārid,,,,SF7H,Cold invading the stomach system pattern (TM1),semantic_match
A-12.3,Subāt Ruṭūbī,,,,SQ00,Delirium disorder (TM2),semantic_match
A-12.4,Subāt Damawī,,,,SD7Z,"Qi, blood and fluid disorders (TM1), unspecified",semantic_match
A-12.5,Subāt Bukhārī,5A23,Diabetic coma,semantic_match,SM3E,Gastric ulcer disorder (TM2),semantic_match
A-12.6,Subāt Ḍu‘fī,"5A23, MB20.1","Coma, Diabetic coma",semantic_match,SB0B,Impotence disorder (TM1),semantic_match
A-12.7,Subāt Ḍarbī,"5A23, MB20.1, NA07.07","Coma, Concussion with loss of consciousness, persisting until death, Diabetic coma",semantic_match,SK5Y,"Other specified head, brain, nerve and movement disorders (TM2)",semantic_match
