NAMASTE_code,NAMASTE_term,Biomedicine_code,Biomedicine_term,Biomedicine_mapping_type,TM-2_code,TM-2_term,TM-2_mapping_type
SL60(AAB-111),hRunmohaH (kEvalavAta),,,,SL60,Slow heart disorder (TM2),direct_match
AAC,sAmAnyajavAtavikAraH,GA02.Z,"Vaginitis, unspecified",semantic_match,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
AAC-1(SK30),antarAyAmaH,,,,SP61,Emaciation disorder (TM2),semantic_match
AAC-2(SK30),apatantrakaH,,,,SD20,Convulsion disorder (TM1),semantic_match
AAC-2.1,asAdhya-apatantrakaH,,,,SD20,Convulsion disorder (TM1),semantic_match
AAC-3(SK30),apatAnakaH,,,,SN05,Orchitis disorder (TM2),semantic_match
SK20(AAC-4),arditaH,"8B88.Y, 8B88.Z","Disorders of facial nerve, unspecified, Other specified disorders of facial nerve",semantic_match,SK20,Facial palsy disorder (TM2),direct_match
AAC-4.1,ardita-pUrvarupam,"8B88.Y, 8B88.Z","Disorders of facial nerve, unspecified, Other specified disorders of facial nerve",semantic_match,SD00,Facial paralysis disorder (TM1),semantic_match
AAC-4.2,asAdhya-arditaH,"8B88.Y, 8B88.Z","Disorders of facial nerve, unspecified, Other specified disorders of facial nerve",semantic_match,SK20,Facial palsy disorder (TM2),semantic_match
AAC-5(SP0Y),asthipraBedaH,"FB81.0, FB81.Y, FB81.Z","Idiopathic aseptic osteonecrosis, Osteonecrosis, unspecified, Other specified osteonecrosis",semantic_match,SM50,Proctalgia disorder (TM2),semantic_match
SP00(AAC-6),asthiSoShaH,"FA37.0, FB80.Z, FB83.12, FB83.14, FB83.1Y, FB83.1Z","Disorder of bone density or structure, unspecified, Osteophyte, Osteoporosis due to malabsorption, Osteoporosis of disuse, Osteoporosis, unspecified, Other specified osteoporosis",semantic_match,SP00,Osteoporosis disorder (TM2),direct_match
SN08(AAC-7),vAtAShThIlA,,,,SN08,Prostatic enlargement disorder (TM2),direct_match
SP15(AAC-8),avabAhukaH,"8B91.0, FB53.Z, ME86.D0, ME86.DY, ME86.DZ","Neuralgic shoulder amyotrophy, Other specified symptom or complaint of the shoulder, Shoulder lesions, unspecified, Shoulder syndrome, Symptom or complaint of the shoulder, unspecified",semantic_match,SP15,Frozen shoulder disorder (TM2),direct_match
SK55(AAC-9),UrustamBaH/ADhyavAtaH,,,,SK55,Weakness of thighs due to vata disorder (TM2),direct_match
AAC-9.1,UrustamBa-pUrvarUpam,"FB3Z, ME86.B","Disorders of muscles, unspecified, Symptom or complaint of the leg or thigh",semantic_match,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
AAC-9.2(SK55),asAdhya-UrustamBaH,,,,SK55,Weakness of thighs due to vata disorder (TM2),semantic_match
AAC-10(SP2Y ),aMsaSoShaH,"8B61.Y, 8B61.Z, FB53.2, ME86.D0","Impingement syndrome of shoulder, Other specified spinal muscular atrophy, Shoulder syndrome, Spinal muscular atrophy, unspecified",semantic_match,SP15,Frozen shoulder disorder (TM2),semantic_match
AAC-10(SP2Y ),aMsaSoShaH,"8B61.Y, 8B61.Z, FB53.2, ME86.D0","Impingement syndrome of shoulder, Other specified spinal muscular atrophy, Shoulder syndrome, Spinal muscular atrophy, unspecified",semantic_match,SP15,Frozen shoulder disorder (TM2),semantic_match
SK30(AAC-11),AkShepakaH,,,,SK30,Seizure disorder (TM2),direct_match
